Value,N,P,K,temperature,humidity,ph,rainfall,label
1050000.0,24,128,196,22.75088787,90.69489172,5.521466996,110.4317855,Apples
1050000.0,7,144,197,23.8494014,94.34814995,6.133220586,114.0512495,Apples
1050000.0,14,128,205,22.60800988,94.58900601,6.226289556,116.0396587,Apples
1050000.0,8,120,201,21.18667419,91.13435689,6.321152192,122.233323,Apples
1050000.0,20,129,201,23.41044706,91.69913296,5.587905967,116.07779309999998,Apples
1050000.0,32,137,204,22.86006627,93.12859895,5.824151692999999,117.7296726,Apples
1050000.0,27,139,205,22.48403042,93.40819246,5.7721799460000005,105.5473627,Apples
1050000.0,0,123,205,22.02775403,92.96129462,5.790993052,121.1349176,Apples
1050000.0,22,144,196,21.91191314,91.68748063,6.4992268210000015,117.0761277,Apples
1050000.0,1,124,199,23.71059131,93.27392415,5.658473817000001,112.66765890000002,Apples
1050000.0,30,122,197,21.37784654,92.72043743,5.573241391,106.1417017,Apples
1050000.0,29,121,196,22.84852833,94.32130209,6.079497202000001,123.5977843,Apples
1050000.0,13,126,204,23.1094265,92.79630809,6.3831802710000005,108.183792,Apples
1050000.0,9,139,199,23.25230817,94.54128292,5.867420996,105.3558408,Apples
1050000.0,0,133,200,23.67287749,90.4935574,5.708418722,104.2298028,Apples
1050000.0,30,143,199,23.76881552,90.59810302,5.7983508000000015,102.2648546,Apples
1050000.0,36,140,198,23.34386401,91.47684705,6.28188384,104.4267991,Apples
1050000.0,37,137,199,22.63946441,90.18451645,5.697945522,108.3405879,Apples
1050000.0,33,121,203,22.45696744,94.76285385,5.6059340870000005,114.8407725,Apples
1050000.0,7,144,195,22.96388477,93.58065995,5.85648105,104.64729859999998,Apples
1050000.0,35,128,205,21.07273439,93.56585985,6.041053829,107.8737015,Apples
1050000.0,29,128,198,22.44075021,92.70785115,5.685062404,121.4977331,Apples
1050000.0,2,143,196,22.71271308,90.45261746,5.669489065,109.8852597,Apples
1050000.0,34,140,198,21.70416965,93.44006288,5.751707342,115.1781396,Apples
1050000.0,29,144,204,22.43324518,92.48667725,5.800448951,119.1025189,Apples
1050000.0,32,141,203,21.25941052,92.84416234,5.821347769,109.06584709999998,Apples
1050000.0,13,144,197,22.9215706,94.89613443,6.28022267,105.6941544,Apples
1050000.0,25,143,198,22.81212536,91.51861705,6.027314401,107.855225,Apples
1050000.0,9,137,200,21.12152071,90.6878768,5.636687393,102.8017203,Apples
1050000.0,6,144,198,21.11478672,90.31528693,5.559363609,104.5086618,Apples
1050000.0,37,126,196,23.59997268,90.97597665,5.596449493,107.17281909999998,Apples
1050000.0,2,120,203,23.12652652,94.71203306,5.893492998999999,108.62118329999998,Apples
1050000.0,11,143,197,22.98458907,93.3204487,5.875718516,122.1952483,Apples
1050000.0,10,141,201,22.12659387,90.97818277,6.386021424,104.5412275,Apples
1050000.0,24,142,202,22.53779727,91.48135786,5.710819862,101.8474768,Apples
1050000.0,23,138,195,22.49095104,91.70292746,5.7959857160000015,124.3915101,Apples
1050000.0,18,125,204,22.35548159,94.47811755,6.046673619,116.7366261,Apples
1050000.0,13,121,196,22.20700989,93.50574163,6.443382913,120.1593771,Apples
1050000.0,26,122,202,22.44516988,94.73763514,5.617227184,107.1843273,Apples
1050000.0,28,123,202,22.76643029,92.12438519,6.442289294,120.4359949,Apples
1050000.0,26,121,201,22.19109412,90.02575116,6.162034371,112.3126628,Apples
1050000.0,21,137,196,23.6119202,91.70293849,5.812781806,123.5900822,Apples
1050000.0,21,135,198,23.86087054,94.92048112,5.7650151260000015,105.0241329,Apples
1050000.0,5,144,205,21.42177231,92.62665309,6.184922574,102.8045658,Apples
1050000.0,2,123,205,22.36629253,90.78572467,5.739652177000001,124.9831618,Apples
1050000.0,15,133,199,23.99686172,91.61001707,5.8247786360000005,117.6102915,Apples
1050000.0,31,130,198,21.80129837,92.73446667,5.554823557000001,120.05866709999998,Apples
1050000.0,25,143,200,23.80436344,92.80441624,6.024248787,100.6192543,Apples
1050000.0,16,143,204,23.71475278,91.53331177,5.631333387000001,121.8961665,Apples
