N,P,K,temperature,humidity,ph,rainfall,Crop,Value
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,3115.8
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,2616.3
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,3117.7
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,2975.6
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,3153.7
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,3175.9
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,3292.4
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,3250.9
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,3236.6
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,3358.7
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,3587.8
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,3690.9
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,3624.3
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,3586.8
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,3600.2
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,3740.1
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,3863.7
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,3956.7
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,4083.6
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,4075.7
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,4196.2
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,4257.1
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,4322.3
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice,3115.8
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice,2616.3
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice,3117.7
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice,2975.6
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice,3153.7
